person,personLabel,personImage,personGender,child,childLabel,childImage,childGender
Q355420,Dale Earnhardt,http://commons.wikimedia.org/wiki/Special:FilePath/Dale%20Earnhardt%20visits%20Langley%20AFB.jpg,male,Q355388,Dale Earnhardt Jr.,http://commons.wikimedia.org/wiki/Special:FilePath/Dale%20Earnhardt%2C%20Jr.%20-%20Sarah%20Stierch%2002.jpg,male
Q717927,Domingos da Guia,http://commons.wikimedia.org/wiki/Special:FilePath/Domingos%20da%20Guia.JPG,male,Q355742,Ademir da Guia,http://commons.wikimedia.org/wiki/Special:FilePath/Ademir%20da%20Guia%20%281974%29.jpg,male
Q6935503,Mumtaz Ali,http://commons.wikimedia.org/wiki/Special:FilePath/Mumtaz%20Ali%20%28vers%201942%29.jpg,male,Q355748,Mehmood Ali,http://commons.wikimedia.org/wiki/Special:FilePath/Actor%20Mehmood%20Ali%202013%20stamp%20of%20India.jpg,male
Q6935503,Mumtaz Ali,http://commons.wikimedia.org/wiki/Special:FilePath/Mumtaz%20Ali%20%28vers%201942%29.jpg,male,Q355748,Mehmood Ali,http://commons.wikimedia.org/wiki/Special:FilePath/Actor%20Mehmood%20Ali%202013%20stamp%20of%20India.jpg,male
Q3158120,Jacques Amalric,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Amalric%201967.jpg,male,Q355835,Mathieu Amalric,http://commons.wikimedia.org/wiki/Special:FilePath/Mathieu%20Amalric.jpg,male
Q3158120,Jacques Amalric,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Amalric%201967.jpg,male,Q355835,Mathieu Amalric,http://commons.wikimedia.org/wiki/Special:FilePath/Mathieu%20Amalric%20Cannes%202012.jpg,male
Q5271680,Dianne Gerace,http://commons.wikimedia.org/wiki/Special:FilePath/Dianne%20Gerace%2C%20Irina%20Press%201964.jpg,female,Q380802,Rick Fox,http://commons.wikimedia.org/wiki/Special:FilePath/Rick%20Fox%20%2840679251643%29%20%28cropped%29.jpg,male
Q5271680,Dianne Gerace,http://commons.wikimedia.org/wiki/Special:FilePath/Dianne%20Gerace%201964.jpg,female,Q380802,Rick Fox,http://commons.wikimedia.org/wiki/Special:FilePath/Rick%20Fox%20%2840679251643%29%20%28cropped%29.jpg,male
Q3746472,Flavio Destro,http://commons.wikimedia.org/wiki/Special:FilePath/FlavioDestro.jpg,male,Q380830,Mattia Destro,http://commons.wikimedia.org/wiki/Special:FilePath/Mattia%20Destro.jpg,male
Q289364,Rachel Kempson,http://commons.wikimedia.org/wiki/Special:FilePath/Rachel%20Kempson%20Allan%20Warren.jpg,female,Q380884,Corin Redgrave,http://commons.wikimedia.org/wiki/Special:FilePath/Corin%20Redgrave%20reading%20Poems%20from%20Guant%C3%A1namo.jpg,male
